game_pk,at_bat_number,batter,description,des,first_pitch_events,events
746104,30,Jhonkensy Noel,foul,Jhonkensy Noel pops out to shortstop Miguel Rojas.,,field_out
746104,24,Josh Naylor,hit_into_play,Josh Naylor flies out to center fielder Tommy Edman.,field_out,field_out
746104,23,Jose Ramirez,hit_into_play,José Ramírez singles on a line drive to right fielder Mookie Betts.,single,single
746104,9,Josh Naylor,foul,Josh Naylor called out on strikes.,,strikeout
746104,2,Andres Gimenez,foul,Andrés Giménez lines out sharply to right fielder Mookie Betts.,,field_out
746262,67,David Fry,foul,David Fry flies out to right fielder Tommy Pham.,,field_out
746262,66,Jose Ramirez,foul,"José Ramírez grounds out, second baseman Maikel Garcia to first baseman Salvador Perez.",,field_out
746262,45,Andres Gimenez,foul,Andrés Giménez lines out sharply to shortstop Bobby Witt Jr.,,field_out
746262,28,Will Brennan,foul,Will Brennan singles on a ground ball to left fielder MJ Melendez.,,single
746262,21,Jose Ramirez,foul,José Ramírez singles on a fly ball to left fielder MJ Melendez.   Andrés Giménez scores.,,single
746262,11,Lane Thomas,hit_into_play,Lane Thomas singles on a soft ground ball to pitcher Seth Lugo.   Will Brennan to 3rd.,single,single
746264,60,Will Brennan,foul,Will Brennan singles on a ground ball to third baseman Paul DeJong.   Josh Naylor to 2nd.,,single
746264,59,Josh Naylor,swinging_strike,Josh Naylor singles on a line drive to left fielder MJ Melendez.,,single
746264,50,Bo Naylor,foul,Bo Naylor singles on a line drive to center fielder Kyle Isbel.,,single
